Date and Time,sampling feature/location,citation," Barometric pressure -unit-kPa-processing level-L0",quality code,quality annotation,
2019-03-30 10:45:00," Quebrada Sonadora",,97.107,Good,,
2019-03-30 11:00:00," Quebrada Sonadora",,97.097,Good,,
2019-03-30 11:15:00," Quebrada Sonadora",,97.092,Good,,
2019-03-30 11:30:00," Quebrada Sonadora",,97.072,Good,,
2019-03-30 11:45:00," Quebrada Sonadora",,97.045,Good,,
2019-03-30 12:00:00," Quebrada Sonadora",,97.025,Good,,
2019-03-30 12:15:00," Quebrada Sonadora",,96.994,Good,,
2019-03-30 12:30:00," Quebrada Sonadora",,96.996,Good,,
2019-03-30 12:45:00," Quebrada Sonadora",,96.982,Good,,
2019-03-30 13:00:00," Quebrada Sonadora",,96.955,Good,,
2019-03-30 13:15:00," Quebrada Sonadora",,96.939,Good,,
2019-03-30 13:30:00," Quebrada Sonadora",,96.925,Good,,
2019-03-30 13:45:00," Quebrada Sonadora",,96.908,Good,,
2019-03-30 14:00:00," Quebrada Sonadora",,96.895,Good,,
2019-03-30 14:15:00," Quebrada Sonadora",,96.847,Good,,
2019-03-30 14:30:00," Quebrada Sonadora",,96.825,Good,,
2019-03-30 14:45:00," Quebrada Sonadora",,96.833,Good,,
2019-03-30 15:00:00," Quebrada Sonadora",,96.81,Good,,
2019-03-30 15:15:00," Quebrada Sonadora",,96.809,Good,,
2019-03-30 15:30:00," Quebrada Sonadora",,96.771,Good,,
2019-03-30 15:45:00," Quebrada Sonadora",,96.76,Good,,
2019-03-30 16:00:00," Quebrada Sonadora",,96.761,Good,,
2019-03-30 16:15:00," Quebrada Sonadora",,96.756,Good,,
2019-03-30 16:30:00," Quebrada Sonadora",,96.766,Good,,
2019-03-30 16:45:00," Quebrada Sonadora",,96.781,Good,,
2019-03-30 17:00:00," Quebrada Sonadora",,96.8,Good,,
2019-03-30 17:15:00," Quebrada Sonadora",,96.81,Good,,
2019-03-30 17:30:00," Quebrada Sonadora",,96.81,Good,,
2019-03-30 17:45:00," Quebrada Sonadora",,96.815,Good,,
2019-03-30 18:00:00," Quebrada Sonadora",,96.825,Good,,
2019-03-30 18:15:00," Quebrada Sonadora",,96.845,Good,,
2019-03-30 18:30:00," Quebrada Sonadora",,96.857,Good,,
2019-03-30 18:45:00," Quebrada Sonadora",,96.865,Good,,
2019-03-30 19:00:00," Quebrada Sonadora",,96.882,Good,,
2019-03-30 19:15:00," Quebrada Sonadora",,96.896,Good,,
2019-03-30 19:30:00," Quebrada Sonadora",,96.911,Good,,
2019-03-30 19:45:00," Quebrada Sonadora",,96.938,Good,,
2019-03-30 20:00:00," Quebrada Sonadora",,96.953,Good,,
2019-03-30 20:15:00," Quebrada Sonadora",,96.96,Good,,
2019-03-30 20:30:00," Quebrada Sonadora",,96.968,Good,,
2019-03-30 20:45:00," Quebrada Sonadora",,96.994,Good,,
2019-03-30 21:00:00," Quebrada Sonadora",,97.009,Good,,
2019-03-30 21:15:00," Quebrada Sonadora",,97.019,Good,,
2019-03-30 21:30:00," Quebrada Sonadora",,97.019,Good,,
2019-03-30 21:45:00," Quebrada Sonadora",,97.019,Good,,
2019-03-30 22:00:00," Quebrada Sonadora",,96.997,Good,,
2019-03-30 22:15:00," Quebrada Sonadora",,97.012,Good,,
2019-03-30 22:30:00," Quebrada Sonadora",,97.02,Good,,
2019-03-30 22:45:00," Quebrada Sonadora",,97.029,Good,,
2019-03-30 23:00:00," Quebrada Sonadora",,97.02,Good,,
2019-03-30 23:15:00," Quebrada Sonadora",,97.02,Good,,
2019-03-30 23:30:00," Quebrada Sonadora",,97.01,Good,,
2019-03-30 23:45:00," Quebrada Sonadora",,97.008,Good,,
2019-03-31 00:00:00," Quebrada Sonadora",,96.998,Good,,
2019-03-31 00:15:00," Quebrada Sonadora",,96.988,Good,,
2019-03-31 00:30:00," Quebrada Sonadora",,96.967,Good,,
2019-03-31 00:45:00," Quebrada Sonadora",,96.982,Good,,
2019-03-31 01:00:00," Quebrada Sonadora",,96.958,Good,,
2019-03-31 01:15:00," Quebrada Sonadora",,96.944,Good,,
2019-03-31 01:30:00," Quebrada Sonadora",,96.912,Good,,
2019-03-31 01:45:00," Quebrada Sonadora",,96.9,Good,,
2019-03-31 02:00:00," Quebrada Sonadora",,96.889,Good,,
2019-03-31 02:15:00," Quebrada Sonadora",,96.867,Good,,
2019-03-31 02:30:00," Quebrada Sonadora",,96.865,Good,,
2019-03-31 02:45:00," Quebrada Sonadora",,96.834,Good,,
2019-03-31 03:00:00," Quebrada Sonadora",,96.831,Good,,
2019-03-31 03:15:00," Quebrada Sonadora",,96.819,Good,,
2019-03-31 03:30:00," Quebrada Sonadora",,96.808,Good,,
2019-03-31 03:45:00," Quebrada Sonadora",,96.805,Good,,
2019-03-31 04:00:00," Quebrada Sonadora",,96.796,Good,,
2019-03-31 04:15:00," Quebrada Sonadora",,96.788,Good,,
2019-03-31 04:30:00," Quebrada Sonadora",,96.81,Good,,
2019-03-31 04:45:00," Quebrada Sonadora",,96.81,Good,,
2019-03-31 05:00:00," Quebrada Sonadora",,96.829,Good,,
2019-03-31 05:15:00," Quebrada Sonadora",,96.849,Good,,
2019-03-31 05:30:00," Quebrada Sonadora",,96.868,Good,,
2019-03-31 05:45:00," Quebrada Sonadora",,96.866,Good,,
2019-03-31 06:00:00," Quebrada Sonadora",,96.893,Good,,
2019-03-31 06:15:00," Quebrada Sonadora",,96.931,Good,,
2019-03-31 06:30:00," Quebrada Sonadora",,96.939,Good,,
2019-03-31 06:45:00," Quebrada Sonadora",,96.97,Good,,
2019-03-31 07:00:00," Quebrada Sonadora",,96.989,Good,,
2019-03-31 07:15:00," Quebrada Sonadora",,97.013,Good,,
2019-03-31 07:30:00," Quebrada Sonadora",,97.015,Good,,
2019-03-31 07:45:00," Quebrada Sonadora",,97.049,Good,,
2019-03-31 08:00:00," Quebrada Sonadora",,97.053,Good,,
2019-03-31 08:15:00," Quebrada Sonadora",,97.065,Good,,
2019-03-31 08:30:00," Quebrada Sonadora",,97.081,Good,,
2019-03-31 08:45:00," Quebrada Sonadora",,97.107,Good,,
2019-03-31 09:00:00," Quebrada Sonadora",,97.139,Good,,
2019-03-31 09:15:00," Quebrada Sonadora",,97.141,Good,,
2019-03-31 09:30:00," Quebrada Sonadora",,97.157,Good,,
2019-03-31 09:45:00," Quebrada Sonadora",,97.137,Good,,
2019-03-31 10:00:00," Quebrada Sonadora",,97.156,Good,,
2019-03-31 10:15:00," Quebrada Sonadora",,97.151,Good,,
2019-03-31 10:30:00," Quebrada Sonadora",,97.155,Good,,
2019-03-31 10:45:00," Quebrada Sonadora",,97.15,Good,,
2019-03-31 11:00:00," Quebrada Sonadora",,97.138,Good,,
2019-03-31 11:15:00," Quebrada Sonadora",,97.13,Good,,
2019-03-31 11:30:00," Quebrada Sonadora",,97.111,Good,,
2019-03-31 11:45:00," Quebrada Sonadora",,97.111,Good,,
2019-03-31 12:00:00," Quebrada Sonadora",,97.082,Good,,
2019-03-31 12:15:00," Quebrada Sonadora",,97.072,Good,,
2019-03-31 12:30:00," Quebrada Sonadora",,97.04,Good,,
2019-03-31 12:45:00," Quebrada Sonadora",,97.033,Good,,
2019-03-31 13:00:00," Quebrada Sonadora",,97.004,Good,,
2019-03-31 13:15:00," Quebrada Sonadora",,96.977,Good,,
2019-03-31 13:30:00," Quebrada Sonadora",,96.941,Good,,
2019-03-31 13:45:00," Quebrada Sonadora",,96.926,Good,,
2019-03-31 14:00:00," Quebrada Sonadora",,96.892,Good,,
2019-03-31 14:15:00," Quebrada Sonadora",,96.87,Good,,
2019-03-31 14:30:00," Quebrada Sonadora",,96.856,Good,,
2019-03-31 14:45:00," Quebrada Sonadora",,96.849,Good,,
2019-03-31 15:00:00," Quebrada Sonadora",,96.827,Good,,
2019-03-31 15:15:00," Quebrada Sonadora",,96.829,Good,,
2019-03-31 15:30:00," Quebrada Sonadora",,96.856,Good,,
2019-03-31 15:45:00," Quebrada Sonadora",,96.861,Good,,
2019-03-31 16:00:00," Quebrada Sonadora",,96.853,Good,,
2019-03-31 16:15:00," Quebrada Sonadora",,96.87,Good,,
2019-03-31 16:30:00," Quebrada Sonadora",,96.883,Good,,
2019-03-31 16:45:00," Quebrada Sonadora",,96.883,Good,,
2019-03-31 17:00:00," Quebrada Sonadora",,96.903,Good,,
2019-03-31 17:15:00," Quebrada Sonadora",,96.932,Good,,
2019-03-31 17:30:00," Quebrada Sonadora",,96.918,Good,,
2019-03-31 17:45:00," Quebrada Sonadora",,96.915,Good,,
2019-03-31 18:00:00," Quebrada Sonadora",,96.952,Good,,
2019-03-31 18:15:00," Quebrada Sonadora",,96.945,Good,,
2019-03-31 18:30:00," Quebrada Sonadora",,96.979,Good,,
2019-03-31 18:45:00," Quebrada Sonadora",,96.986,Good,,
2019-03-31 19:00:00," Quebrada Sonadora",,96.999,Good,,
2019-03-31 19:15:00," Quebrada Sonadora",,97.023,Good,,
2019-03-31 19:30:00," Quebrada Sonadora",,97.029,Good,,
2019-03-31 19:45:00," Quebrada Sonadora",,97.014,Good,,
2019-03-31 20:00:00," Quebrada Sonadora",,97.029,Good,,
2019-03-31 20:15:00," Quebrada Sonadora",,97.044,Good,,
2019-03-31 20:30:00," Quebrada Sonadora",,97.04,Good,,
2019-03-31 20:45:00," Quebrada Sonadora",,97.035,Good,,
2019-03-31 21:00:00," Quebrada Sonadora",,97.062,Good,,
2019-03-31 21:15:00," Quebrada Sonadora",,97.077,Good,,
2019-03-31 21:30:00," Quebrada Sonadora",,97.084,Good,,
2019-03-31 21:45:00," Quebrada Sonadora",,97.102,Good,,
2019-03-31 22:00:00," Quebrada Sonadora",,97.092,Good,,
2019-03-31 22:15:00," Quebrada Sonadora",,97.09,Good,,
2019-03-31 22:30:00," Quebrada Sonadora",,97.078,Good,,
2019-03-31 22:45:00," Quebrada Sonadora",,97.058,Good,,
2019-03-31 23:00:00," Quebrada Sonadora",,97.085,Good,,
2019-03-31 23:15:00," Quebrada Sonadora",,97.083,Good,,
2019-03-31 23:30:00," Quebrada Sonadora",,97.073,Good,,
2019-03-31 23:45:00," Quebrada Sonadora",,97.071,Good,,
2019-04-01 00:00:00," Quebrada Sonadora",,97.069,Good,,
2019-04-01 00:15:00," Quebrada Sonadora",,97.057,Good,,
2019-04-01 00:30:00," Quebrada Sonadora",,97.045,Good,,
2019-04-01 00:45:00," Quebrada Sonadora",,97.014,Good,,
2019-04-01 01:00:00," Quebrada Sonadora",,97.004,Good,,
2019-04-01 01:15:00," Quebrada Sonadora",,97.004,Good,,
2019-04-01 01:30:00," Quebrada Sonadora",,96.987,Good,,
2019-04-01 01:45:00," Quebrada Sonadora",,96.96,Good,,
2019-04-01 02:00:00," Quebrada Sonadora",,96.951,Good,,
2019-04-01 02:15:00," Quebrada Sonadora",,96.939,Good,,
2019-04-01 02:30:00," Quebrada Sonadora",,96.939,Good,,
2019-04-01 02:45:00," Quebrada Sonadora",,96.917,Good,,
2019-04-01 03:00:00," Quebrada Sonadora",,96.915,Good,,
2019-04-01 03:15:00," Quebrada Sonadora",,96.894,Good,,
2019-04-01 03:30:00," Quebrada Sonadora",,96.891,Good,,
2019-04-01 03:45:00," Quebrada Sonadora",,96.882,Good,,
2019-04-01 04:00:00," Quebrada Sonadora",,96.899,Good,,
2019-04-01 04:15:00," Quebrada Sonadora",,96.899,Good,,
2019-04-01 04:30:00," Quebrada Sonadora",,96.897,Good,,
2019-04-01 04:45:00," Quebrada Sonadora",,96.904,Good,,
2019-04-01 05:00:00," Quebrada Sonadora",,96.933,Good,,
2019-04-01 05:15:00," Quebrada Sonadora",,96.943,Good,,
2019-04-01 05:30:00," Quebrada Sonadora",,96.972,Good,,
2019-04-01 05:45:00," Quebrada Sonadora",,96.962,Good,,
2019-04-01 06:00:00," Quebrada Sonadora",,96.982,Good,,
2019-04-01 06:15:00," Quebrada Sonadora",,96.991,Good,,
2019-04-01 06:30:00," Quebrada Sonadora",,97.02,Good,,
2019-04-01 06:45:00," Quebrada Sonadora",,97.003,Good,,
2019-04-01 07:00:00," Quebrada Sonadora",,97.034,Good,,
2019-04-01 07:15:00," Quebrada Sonadora",,97.056,Good,,
2019-04-01 07:30:00," Quebrada Sonadora",,97.06,Good,,
