Date and Time,sampling feature/location,citation," discharge -unit-cfs-processing level-L0",quality code,quality annotation,
2019-03-30 07:30:00," Quebrada Sonadora",,5.91309030101439,Good,,
2019-03-30 07:45:00," Quebrada Sonadora",,6.00334768554973,Good,,
2019-03-30 08:00:00," Quebrada Sonadora",,5.92855181087674,Good,,
2019-03-30 08:15:00," Quebrada Sonadora",,5.95026784101361,Good,,
2019-03-30 08:30:00," Quebrada Sonadora",,5.93164910285543,Good,,
2019-03-30 08:45:00," Quebrada Sonadora",,5.90075099299514,Good,,
2019-03-30 09:00:00," Quebrada Sonadora",,5.98143265594996,Good,,
2019-03-30 09:15:00," Quebrada Sonadora",,5.91309030101439,Good,,
2019-03-30 09:30:00," Quebrada Sonadora",,5.86083125154261,Good,,
2019-03-30 09:45:00," Quebrada Sonadora",,5.78182659783209,Good,,
2019-03-30 10:00:00," Quebrada Sonadora",,5.80904890889741,Good,,
2019-03-30 10:15:00," Quebrada Sonadora",,5.76676024698338,Good,,
2019-03-30 10:30:00," Quebrada Sonadora",,5.77278189631841,Good,,
2019-03-30 10:45:00," Quebrada Sonadora",,5.73674961990667,Good,,
2019-03-30 11:00:00," Quebrada Sonadora",,5.74573574564891,Good,,
2019-03-30 11:15:00," Quebrada Sonadora",,5.73076698099203,Good,,
2019-03-30 11:30:00," Quebrada Sonadora",,5.70392525620616,Good,,
2019-03-30 11:45:00," Quebrada Sonadora",,5.73375748973666,Good,,
2019-03-30 12:00:00," Quebrada Sonadora",,5.74873436820087,Good,,
2019-03-30 12:15:00," Quebrada Sonadora",,5.79088598840059,Good,,
2019-03-30 12:30:00," Quebrada Sonadora",,5.74273874719472,Good,,
2019-03-30 12:45:00," Quebrada Sonadora",,5.76977025692912,Good,,
2019-03-30 13:00:00," Quebrada Sonadora",,5.76977025692889,Good,,
2019-03-30 13:15:00," Quebrada Sonadora",,5.70095092497513,Good,,
2019-03-30 13:30:00," Quebrada Sonadora",,5.69797820782213,Good,,
2019-03-30 13:45:00," Quebrada Sonadora",,5.66833966367665,Good,,
2019-03-30 14:00:00," Quebrada Sonadora",,5.67721432584227,Good,,
2019-03-30 14:15:00," Quebrada Sonadora",,5.67425449727443,Good,,
2019-03-30 14:30:00," Quebrada Sonadora",,5.64180236869635,Good,,
2019-03-30 14:45:00," Quebrada Sonadora",,5.5978614342867,Good,,
2019-03-30 15:00:00," Quebrada Sonadora",,5.63004966317874,Good,,
2019-03-30 15:15:00," Quebrada Sonadora",,5.66243125701283,Good,,
2019-03-30 15:30:00," Quebrada Sonadora",,5.64768832314422,Good,,
2019-03-30 15:45:00," Quebrada Sonadora",,5.70095092497513,Good,,
2019-03-30 16:00:00," Quebrada Sonadora",,5.66833966367682,Good,,
2019-03-30 16:15:00," Quebrada Sonadora",,5.67721432584227,Good,,
2019-03-30 16:30:00," Quebrada Sonadora",,5.64768832314411,Good,,
2019-03-30 16:45:00," Quebrada Sonadora",,5.63298544080448,Good,,
2019-03-30 17:00:00," Quebrada Sonadora",,5.62711548361057,Good,,
2019-03-30 17:15:00," Quebrada Sonadora",,5.59786143428664,Good,,
2019-03-30 17:30:00," Quebrada Sonadora",,5.65358068583612,Good,,
2019-03-30 17:45:00," Quebrada Sonadora",,5.66243125701283,Good,,
2019-03-30 18:00:00," Quebrada Sonadora",,5.66243125701277,Good,,
2019-03-30 18:15:00," Quebrada Sonadora",,5.57457275859906,Good,,
2019-03-30 18:30:00," Quebrada Sonadora",,5.56006888292694,Good,,
2019-03-30 18:45:00," Quebrada Sonadora",,5.59494478931362,Good,,
2019-03-30 19:00:00," Quebrada Sonadora",,5.57457275859895,Good,,
2019-03-30 19:15:00," Quebrada Sonadora",,5.58329410326803,Good,,
2019-03-30 19:30:00," Quebrada Sonadora",,5.62418290143211,Good,,
2019-03-30 19:45:00," Quebrada Sonadora",,5.54560455849327,Good,,
2019-03-30 20:00:00," Quebrada Sonadora",,5.56006888292694,Good,,
2019-03-30 20:15:00," Quebrada Sonadora",,5.56876645684781,Good,,
2019-03-30 20:30:00," Quebrada Sonadora",,5.59494478931344,Good,,
2019-03-30 20:45:00," Quebrada Sonadora",,5.5484942632811,Good,,
2019-03-30 21:00:00," Quebrada Sonadora",,5.53406151983819,Good,,
2019-03-30 21:15:00," Quebrada Sonadora",,5.50531415340078,Good,,
2019-03-30 21:30:00," Quebrada Sonadora",,5.50531415340078,Good,,
2019-03-30 21:45:00," Quebrada Sonadora",,5.50531415340078,Good,,
2019-03-30 22:00:00," Quebrada Sonadora",,5.53117970196587,Good,,
2019-03-30 22:15:00," Quebrada Sonadora",,5.54560455849327,Good,,
2019-03-30 22:30:00," Quebrada Sonadora",,5.52254369798391,Good,,
2019-03-30 22:45:00," Quebrada Sonadora",,5.49672057681687,Good,,
2019-03-30 23:00:00," Quebrada Sonadora",,5.43695951522585,Good,,
2019-03-30 23:15:00," Quebrada Sonadora",,5.43695951522585,Good,,
2019-03-30 23:30:00," Quebrada Sonadora",,5.49385918695185,Good,,
2019-03-30 23:45:00," Quebrada Sonadora",,5.47102441403911,Good,,
2019-03-31 00:00:00," Quebrada Sonadora",,5.44545472406003,Good,,
2019-03-31 00:15:00," Quebrada Sonadora",,5.47387328878619,Good,,
2019-03-31 00:30:00," Quebrada Sonadora",,5.4767237255918,Good,,
2019-03-31 00:45:00," Quebrada Sonadora",,5.42565431463549,Good,,
2019-03-31 01:00:00," Quebrada Sonadora",,5.46533134805617,Good,,
2019-03-31 01:15:00," Quebrada Sonadora",,5.4767237255918,Good,,
2019-03-31 01:30:00," Quebrada Sonadora",,5.48528441501958,Good,,
2019-03-31 01:45:00," Quebrada Sonadora",,5.4059298914417,Good,,
2019-03-31 02:00:00," Quebrada Sonadora",,5.46533134805622,Good,,
2019-03-31 02:15:00," Quebrada Sonadora",,5.47102441403911,Good,,
2019-03-31 02:30:00," Quebrada Sonadora",,5.41437392587477,Good,,
2019-03-31 02:45:00," Quebrada Sonadora",,5.41719169928564,Good,,
2019-03-31 03:00:00," Quebrada Sonadora",,5.45396393148854,Good,,
2019-03-31 03:15:00," Quebrada Sonadora",,5.40311830634556,Good,,
2019-03-31 03:30:00," Quebrada Sonadora",,5.43413088663931,Good,,
2019-03-31 03:45:00," Quebrada Sonadora",,5.40592989144182,Good,,
2019-03-31 04:00:00," Quebrada Sonadora",,5.40311830634556,Good,,
2019-03-31 04:15:00," Quebrada Sonadora",,5.40030826666424,Good,,
2019-03-31 04:30:00," Quebrada Sonadora",,5.36391808082396,Good,,
2019-03-31 04:45:00," Quebrada Sonadora",,5.44828957024907,Good,,
2019-03-31 05:00:00," Quebrada Sonadora",,5.42283189300031,Good,,
2019-03-31 05:15:00," Quebrada Sonadora",,5.36670809065777,Good,,
2019-03-31 05:30:00," Quebrada Sonadora",,5.3694996372576,Good,,
2019-03-31 05:45:00," Quebrada Sonadora",,5.33887703704789,Good,,
2019-03-31 06:00:00," Quebrada Sonadora",,5.31948638096907,Good,,
2019-03-31 06:15:00," Quebrada Sonadora",,5.29741714557304,Good,,
2019-03-31 06:30:00," Quebrada Sonadora",,5.3305575884757,Good,,
2019-03-31 06:45:00," Quebrada Sonadora",,5.27270552984817,Good,,
2019-03-31 07:00:00," Quebrada Sonadora",,5.35555726526724,Good,,
2019-03-31 07:15:00," Quebrada Sonadora",,5.31672239440854,Good,,
2019-03-31 07:30:00," Quebrada Sonadora",,5.3305575884757,Good,,
2019-03-31 07:45:00," Quebrada Sonadora",,5.30017047251408,Good,,
2019-03-31 08:00:00," Quebrada Sonadora",,5.28916628295661,Good,,
2019-03-31 08:15:00," Quebrada Sonadora",,5.31119899501306,Good,,
2019-03-31 08:30:00," Quebrada Sonadora",,5.26723073254328,Good,,
2019-03-31 08:45:00," Quebrada Sonadora",,5.24811656140861,Good,,
2019-03-31 09:00:00," Quebrada Sonadora",,5.26996737444597,Good,,
2019-03-31 09:15:00," Quebrada Sonadora",,5.21010969461776,Good,,
2019-03-31 09:30:00," Quebrada Sonadora",,5.22093874195912,Good,,
2019-03-31 09:45:00," Quebrada Sonadora",,5.22907629136148,Good,,
2019-03-31 10:00:00," Quebrada Sonadora",,5.23179181401713,Good,,
2019-03-31 10:15:00," Quebrada Sonadora",,5.27270552984817,Good,,
2019-03-31 10:30:00," Quebrada Sonadora",,5.26176198657919,Good,,
2019-03-31 10:45:00," Quebrada Sonadora",,5.25357020227136,Good,,
2019-03-31 11:00:00," Quebrada Sonadora",,5.23450884087339,Good,,
2019-03-31 11:15:00," Quebrada Sonadora",,5.2345088408735,Good,,
2019-03-31 11:30:00," Quebrada Sonadora",,5.34165324591663,Good,,
2019-03-31 11:45:00," Quebrada Sonadora",,5.25902988118912,Good,,
2019-03-31 12:00:00," Quebrada Sonadora",,5.28641903260501,Good,,
2019-03-31 12:15:00," Quebrada Sonadora",,5.29191505145883,Good,,
2019-03-31 12:30:00," Quebrada Sonadora",,5.30017047251408,Good,,
2019-03-31 12:45:00," Quebrada Sonadora",,5.32501893113994,Good,,
2019-03-31 13:00:00," Quebrada Sonadora",,5.29741714557309,Good,,
2019-03-31 13:15:00," Quebrada Sonadora",,5.3167223944086,Good,,
2019-03-31 13:30:00," Quebrada Sonadora",,5.31395993264476,Good,,
2019-03-31 13:45:00," Quebrada Sonadora",,5.26176198657902,Good,,
2019-03-31 14:00:00," Quebrada Sonadora",,5.32778749607979,Good,,
2019-03-31 14:15:00," Quebrada Sonadora",,5.3527733958461,Good,,
2019-03-31 14:30:00," Quebrada Sonadora",,5.33887703704789,Good,,
2019-03-31 14:45:00," Quebrada Sonadora",,5.36391808082396,Good,,
2019-03-31 15:00:00," Quebrada Sonadora",,5.39749977173256,Good,,
2019-03-31 15:15:00," Quebrada Sonadora",,5.39188741345617,Good,,
2019-03-31 15:30:00," Quebrada Sonadora",,5.34443098556585,Good,,
2019-03-31 15:45:00," Quebrada Sonadora",,5.34999105986577,Good,,
2019-03-31 16:00:00," Quebrada Sonadora",,5.42847828700997,Good,,
2019-03-31 16:15:00," Quebrada Sonadora",,5.40874302261818,Good,,
2019-03-31 16:30:00," Quebrada Sonadora",,5.48528441501958,Good,,
2019-03-31 16:45:00," Quebrada Sonadora",,5.57166881536506,Good,,
2019-03-31 17:00:00," Quebrada Sonadora",,5.68610346663445,Good,,
2019-03-31 17:15:00," Quebrada Sonadora",,5.63004966317897,Good,,
2019-03-31 17:30:00," Quebrada Sonadora",,5.61246853327322,Good,,
2019-03-31 17:45:00," Quebrada Sonadora",,5.73974337216993,Good,,
2019-03-31 18:00:00," Quebrada Sonadora",,5.68906973415324,Good,,
2019-03-31 18:15:00," Quebrada Sonadora",,5.76074511274953,Good,,
2019-03-31 18:30:00," Quebrada Sonadora",,5.77579516582,Good,,
2019-03-31 18:45:00," Quebrada Sonadora",,5.87615192788166,Good,,
2019-03-31 19:00:00," Quebrada Sonadora",,5.95959973140998,Good,,
2019-03-31 19:15:00," Quebrada Sonadora",,6.13336803854099,Good,,
2019-03-31 19:30:00," Quebrada Sonadora",,6.17842040950626,Good,,
2019-03-31 19:45:00," Quebrada Sonadora",,6.15263510304999,Good,,
2019-03-31 20:00:00," Quebrada Sonadora",,6.20107269350717,Good,,
2019-03-31 20:15:00," Quebrada Sonadora",,6.21730453970366,Good,,
2019-03-31 20:30:00," Quebrada Sonadora",,6.35868765759432,Good,,
2019-03-31 20:45:00," Quebrada Sonadora",,6.77411158421506,Good,,
2019-03-31 21:00:00," Quebrada Sonadora",,7.03766149190227,Good,,
2019-03-31 21:15:00," Quebrada Sonadora",,7.23906543964017,Good,,
2019-03-31 21:30:00," Quebrada Sonadora",,7.32654403188116,Good,,
2019-03-31 21:45:00," Quebrada Sonadora",,7.24663180010793,Good,,
2019-03-31 22:00:00," Quebrada Sonadora",,7.24663180010793,Good,,
2019-03-31 22:15:00," Quebrada Sonadora",,7.17881081954448,Good,,
2019-03-31 22:30:00," Quebrada Sonadora",,7.14886712109364,Good,,
2019-03-31 22:45:00," Quebrada Sonadora",,7.11532620538759,Good,,
2019-03-31 23:00:00," Quebrada Sonadora",,7.04134091125565,Good,,
2019-03-31 23:15:00," Quebrada Sonadora",,6.9390275073871,Good,,
2019-03-31 23:30:00," Quebrada Sonadora",,6.90284246848813,Good,,
2019-03-31 23:45:00," Quebrada Sonadora",,6.83817767227021,Good,,
2019-04-01 00:00:00," Quebrada Sonadora",,6.80251173881589,Good,,
2019-04-01 00:15:00," Quebrada Sonadora",,6.77411158421506,Good,,
2019-04-01 00:30:00," Quebrada Sonadora",,6.7458289146449,Good,,
2019-04-01 00:45:00," Quebrada Sonadora",,6.74935783519709,Good,,
2019-04-01 01:00:00," Quebrada Sonadora",,6.64775977487835,Good,,
2019-04-01 01:15:00," Quebrada Sonadora",,6.64775977487835,Good,,
2019-04-01 01:30:00," Quebrada Sonadora",,6.55796749640933,Good,,
2019-04-01 01:45:00," Quebrada Sonadora",,6.55111077753821,Good,,
2019-04-01 02:00:00," Quebrada Sonadora",,6.47954709390018,Good,,
2019-04-01 02:15:00," Quebrada Sonadora",,6.48632879550132,Good,,
2019-04-01 02:30:00," Quebrada Sonadora",,6.32221328272055,Good,,
2019-04-01 02:45:00," Quebrada Sonadora",,6.36201402130831,Good,,
2019-04-01 03:00:00," Quebrada Sonadora",,6.33545219014906,Good,,
2019-04-01 03:15:00," Quebrada Sonadora",,6.30570394534453,Good,,
2019-04-01 03:30:00," Quebrada Sonadora",,6.27281594096871,Good,,
2019-04-01 03:45:00," Quebrada Sonadora",,6.20756026160836,Good,,
2019-04-01 04:00:00," Quebrada Sonadora",,6.15263510304999,Good,,
2019-04-01 04:15:00," Quebrada Sonadora",,6.12055749373206,Good,,
2019-04-01 04:30:00," Quebrada Sonadora",,6.12695935322881,Good,,
2019-04-01 04:45:00," Quebrada Sonadora",,6.04110798964052,Good,,
2019-04-01 05:00:00," Quebrada Sonadora",,5.97206564800723,Good,,
2019-04-01 05:15:00," Quebrada Sonadora",,6.03479775344601,Good,,
2019-04-01 05:30:00," Quebrada Sonadora",,5.9440549264425,Good,,
2019-04-01 05:45:00," Quebrada Sonadora",,6.00648511991704,Good,,
2019-04-01 06:00:00," Quebrada Sonadora",,5.91309030101439,Good,,
2019-04-01 06:15:00," Quebrada Sonadora",,5.91617927854753,Good,,
2019-04-01 06:30:00," Quebrada Sonadora",,5.85777206746315,Good,,
2019-04-01 06:45:00," Quebrada Sonadora",,5.87001870348149,Good,,
2019-04-01 07:00:00," Quebrada Sonadora",,5.80601766404681,Good,,
2019-04-01 07:15:00," Quebrada Sonadora",,5.73974337216987,Good,,
2019-04-01 07:30:00," Quebrada Sonadora",,5.72777809300459,Good,,
2019-04-01 07:45:00," Quebrada Sonadora",,5.69500710407942,Good,,
2019-04-01 08:00:00," Quebrada Sonadora",,5.65063370312595,Good,,
2019-04-01 08:15:00," Quebrada Sonadora",,5.75773998712486,Good,,
2019-04-01 08:30:00," Quebrada Sonadora",,5.64474454522332,Good,,
2019-04-01 08:45:00," Quebrada Sonadora",,5.63298544080425,Good,,
2019-04-01 09:00:00," Quebrada Sonadora",,5.71285794104523,Good,,
2019-04-01 09:15:00," Quebrada Sonadora",,5.58038540188352,Good,,
2019-04-01 09:30:00," Quebrada Sonadora",,5.5832941032678,Good,,
2019-04-01 09:45:00," Quebrada Sonadora",,5.56296649129553,Good,,
2019-04-01 10:00:00," Quebrada Sonadora",,5.55427841167193,Good,,
2019-04-01 10:15:00," Quebrada Sonadora",,5.54560455849321,Good,,
2019-04-01 10:30:00," Quebrada Sonadora",,5.5832941032678,Good,,
2019-04-01 10:45:00," Quebrada Sonadora",,5.57166881536506,Good,,
2019-04-01 11:00:00," Quebrada Sonadora",,5.61539473256397,Good,,
2019-04-01 11:15:00," Quebrada Sonadora",,5.51679423002764,Good,,
2019-04-01 11:30:00," Quebrada Sonadora",,5.52829945947707,Good,,
2019-04-01 11:45:00," Quebrada Sonadora",,5.52829945947707,Good,,
2019-04-01 12:00:00," Quebrada Sonadora",,5.52254369798396,Good,,
2019-04-01 12:15:00," Quebrada Sonadora",,5.51966817764691,Good,,
2019-04-01 12:30:00," Quebrada Sonadora",,5.47957572512195,Good,,
2019-04-01 12:45:00," Quebrada Sonadora",,5.49958353406919,Good,,
2019-04-01 13:00:00," Quebrada Sonadora",,5.46533134805611,Good,,
2019-04-01 13:15:00," Quebrada Sonadora",,5.43695951522585,Good,,
2019-04-01 13:30:00," Quebrada Sonadora",,5.5254207917053,Good,,
2019-04-01 13:45:00," Quebrada Sonadora",,5.45680344787047,Good,,
2019-04-01 14:00:00," Quebrada Sonadora",,5.41437392587471,Good,,
2019-04-01 14:15:00," Quebrada Sonadora",,5.48528441501958,Good,,
2019-04-01 14:30:00," Quebrada Sonadora",,5.46817710068444,Good,,
2019-04-01 14:45:00," Quebrada Sonadora",,5.45680344787047,Good,,
2019-04-01 15:00:00," Quebrada Sonadora",,5.48242928804245,Good,,
2019-04-01 15:15:00," Quebrada Sonadora",,5.50244805937513,Good,,
2019-04-01 15:30:00," Quebrada Sonadora",,5.51392185445968,Good,,
2019-04-01 15:45:00," Quebrada Sonadora",,5.45112597250335,Good,,
2019-04-01 16:00:00," Quebrada Sonadora",,5.42283189300031,Good,,
2019-04-01 16:15:00," Quebrada Sonadora",,5.42283189300031,Good,,
2019-04-01 16:30:00," Quebrada Sonadora",,5.42283189300036,Good,,
2019-04-01 16:45:00," Quebrada Sonadora",,5.38348044502783,Good,,
2019-04-01 17:00:00," Quebrada Sonadora",,5.43695951522568,Good,,
2019-04-01 17:15:00," Quebrada Sonadora",,5.45964452231516,Good,,
2019-04-01 17:30:00," Quebrada Sonadora",,5.41719169928558,Good,,
2019-04-01 17:45:00," Quebrada Sonadora",,5.45680344787047,Good,,
2019-04-01 18:00:00," Quebrada Sonadora",,5.44262143327035,Good,,
2019-04-01 18:15:00," Quebrada Sonadora",,5.43413088663931,Good,,
2019-04-01 18:30:00," Quebrada Sonadora",,5.40030826666424,Good,,
2019-04-01 18:45:00," Quebrada Sonadora",,5.42565431463549,Good,,
2019-04-01 19:00:00," Quebrada Sonadora",,5.44545472405997,Good,,
2019-04-01 19:15:00," Quebrada Sonadora",,5.43978969721411,Good,,
2019-04-01 19:30:00," Quebrada Sonadora",,5.45680344787047,Good,,
2019-04-01 19:45:00," Quebrada Sonadora",,5.35555726526724,Good,,
2019-04-01 20:00:00," Quebrada Sonadora",,5.41719169928558,Good,,
2019-04-01 20:15:00," Quebrada Sonadora",,5.39469282088498,Good,,
2019-04-01 20:30:00," Quebrada Sonadora",,5.39749977173267,Good,,
2019-04-01 20:45:00," Quebrada Sonadora",,5.41719169928558,Good,,
2019-04-01 21:00:00," Quebrada Sonadora",,5.42001102143888,Good,,
2019-04-01 21:15:00," Quebrada Sonadora",,5.41437392587477,Good,,
2019-04-01 21:30:00," Quebrada Sonadora",,5.38908354878055,Good,,
2019-04-01 21:45:00," Quebrada Sonadora",,5.41437392587477,Good,,
