Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-03-30 11:30:00," Quebrada Sonadora",,19289.0,Good,,
2019-03-30 11:45:00," Quebrada Sonadora",,16533.4,Good,,
2019-03-30 12:00:00," Quebrada Sonadora",,5338.9,Good,,
2019-03-30 12:15:00," Quebrada Sonadora",,16533.4,Good,,
2019-03-30 12:30:00," Quebrada Sonadora",,30311.3,Good,,
2019-03-30 12:45:00," Quebrada Sonadora",,16533.4,Good,,
2019-03-30 13:00:00," Quebrada Sonadora",,14466.8,Good,,
2019-03-30 13:15:00," Quebrada Sonadora",,22044.6,Good,,
2019-03-30 13:30:00," Quebrada Sonadora",,23422.4,Good,,
2019-03-30 13:45:00," Quebrada Sonadora",,10677.8,Good,,
2019-03-30 14:00:00," Quebrada Sonadora",,23422.4,Good,,
2019-03-30 14:15:00," Quebrada Sonadora",,19289.0,Good,,
2019-03-30 14:30:00," Quebrada Sonadora",,17911.2,Good,,
2019-03-30 14:45:00," Quebrada Sonadora",,121245.2,Good,,
2019-03-30 15:00:00," Quebrada Sonadora",,220445.9,Good,,
2019-03-30 15:15:00," Quebrada Sonadora",,220445.9,Good,,
2019-03-30 15:30:00," Quebrada Sonadora",,63378.2,Good,,
2019-03-30 15:45:00," Quebrada Sonadora",,9644.5,Good,,
2019-03-30 16:00:00," Quebrada Sonadora",,13089.0,Good,,
2019-03-30 16:15:00," Quebrada Sonadora",,10677.8,Good,,
2019-03-30 16:30:00," Quebrada Sonadora",,49600.3,Good,,
2019-03-30 16:45:00," Quebrada Sonadora",,10333.4,Good,,
2019-03-30 17:00:00," Quebrada Sonadora",,6200.0,Good,,
2019-03-30 17:15:00," Quebrada Sonadora",,5511.1,Good,,
2019-03-30 17:30:00," Quebrada Sonadora",,2583.4,Good,,
2019-03-30 17:45:00," Quebrada Sonadora",,1636.1,Good,,
2019-03-30 18:00:00," Quebrada Sonadora",,979.5,Good,,
2019-03-30 18:15:00," Quebrada Sonadora",,193.8,Good,,
2019-03-30 18:30:00," Quebrada Sonadora",,64.6,Good,,
2019-03-30 18:45:00," Quebrada Sonadora",,10.8,Good,,
2019-03-30 19:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 19:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 19:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 19:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 20:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 20:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 20:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 20:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 21:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 21:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 21:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 21:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 22:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 22:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 22:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 22:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 23:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 23:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 23:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 23:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 00:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 00:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 00:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 00:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 05:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 06:00:00," Quebrada Sonadora",,0.0,Good,,
