Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-06-18 20:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 20:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 20:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 21:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 21:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 21:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 21:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 22:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 22:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 22:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 22:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 23:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 23:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 23:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 23:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 00:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 00:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 00:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 00:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 05:45:00," Quebrada Sonadora",,43.1,Good,,
2019-06-19 06:00:00," Quebrada Sonadora",,204.5,Good,,
2019-06-19 06:15:00," Quebrada Sonadora",,667.4,Good,,
2019-06-19 06:30:00," Quebrada Sonadora",,1141.0,Good,,
2019-06-19 06:45:00," Quebrada Sonadora",,1636.1,Good,,
2019-06-19 07:00:00," Quebrada Sonadora",,3100.0,Good,,
2019-06-19 07:15:00," Quebrada Sonadora",,3788.9,Good,,
2019-06-19 07:30:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-19 07:45:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-19 08:00:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-19 08:15:00," Quebrada Sonadora",,5511.1,Good,,
2019-06-19 08:30:00," Quebrada Sonadora",,4477.8,Good,,
2019-06-19 08:45:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-19 09:00:00," Quebrada Sonadora",,8266.7,Good,,
2019-06-19 09:15:00," Quebrada Sonadora",,6200.0,Good,,
2019-06-19 09:30:00," Quebrada Sonadora",,6544.5,Good,,
2019-06-19 09:45:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-19 10:00:00," Quebrada Sonadora",,8266.7,Good,,
2019-06-19 10:15:00," Quebrada Sonadora",,8611.2,Good,,
2019-06-19 10:30:00," Quebrada Sonadora",,8611.2,Good,,
2019-06-19 10:45:00," Quebrada Sonadora",,9300.1,Good,,
2019-06-19 11:00:00," Quebrada Sonadora",,9300.1,Good,,
2019-06-19 11:15:00," Quebrada Sonadora",,10333.4,Good,,
2019-06-19 11:30:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-19 11:45:00," Quebrada Sonadora",,14466.8,Good,,
2019-06-19 12:00:00," Quebrada Sonadora",,52355.9,Good,,
2019-06-19 12:15:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-19 12:30:00," Quebrada Sonadora",,11711.2,Good,,
2019-06-19 12:45:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-19 13:00:00," Quebrada Sonadora",,11711.2,Good,,
2019-06-19 13:15:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-19 13:30:00," Quebrada Sonadora",,11711.2,Good,,
2019-06-19 13:45:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-19 14:00:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-19 14:15:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-19 14:30:00," Quebrada Sonadora",,15844.5,Good,,
2019-06-19 14:45:00," Quebrada Sonadora",,22044.6,Good,,
2019-06-19 15:00:00," Quebrada Sonadora",,33066.9,Good,,
2019-06-19 15:15:00," Quebrada Sonadora",,18600.1,Good,,
2019-06-19 15:30:00," Quebrada Sonadora",,17911.2,Good,,
2019-06-19 15:45:00," Quebrada Sonadora",,8611.2,Good,,
2019-06-19 16:00:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-19 16:15:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-19 16:30:00," Quebrada Sonadora",,11711.2,Good,,
2019-06-19 16:45:00," Quebrada Sonadora",,3616.7,Good,,
2019-06-19 17:00:00," Quebrada Sonadora",,6200.0,Good,,
