Date and Time,sampling feature/location,citation," Stage Height -unit-CM-processing level-L1 passed QAQC",quality code,quality annotation,
2019-03-30 16:31:14," Quebrada Sonadora",,10.45922,Good,,
2019-03-30 16:46:15," Quebrada Sonadora",,10.42851,Good,,
2019-03-30 17:01:15," Quebrada Sonadora",,10.42659,Good,,
2019-03-30 17:16:15," Quebrada Sonadora",,10.41235,Good,,
2019-03-30 17:31:14," Quebrada Sonadora",,10.37425,Good,,
2019-03-30 17:46:15," Quebrada Sonadora",,10.34546,Good,,
2019-03-30 18:01:15," Quebrada Sonadora",,10.32865,Good,,
2019-03-30 18:16:15," Quebrada Sonadora",,10.19825,Good,,
2019-03-30 18:31:14," Quebrada Sonadora",,10.22642,Good,,
2019-03-30 18:46:15," Quebrada Sonadora",,10.2466,Good,,
2019-03-30 19:01:15," Quebrada Sonadora",,10.34424,Good,,
2019-03-30 19:16:15," Quebrada Sonadora",,10.43056,Good,,
2019-03-30 19:31:14," Quebrada Sonadora",,10.40681,Good,,
2019-03-30 19:46:15," Quebrada Sonadora",,10.42704,Good,,
2019-03-30 20:01:15," Quebrada Sonadora",,10.37133,Good,,
2019-03-30 20:16:15," Quebrada Sonadora",,10.29358,Good,,
2019-03-30 20:31:14," Quebrada Sonadora",,10.25913,Good,,
2019-03-30 20:46:15," Quebrada Sonadora",,10.24752,Good,,
2019-03-30 21:01:15," Quebrada Sonadora",,10.14924,Good,,
2019-03-30 21:16:15," Quebrada Sonadora",,10.03417,Good,,
2019-03-30 21:31:14," Quebrada Sonadora",,10.00893,Good,,
2019-03-30 21:46:15," Quebrada Sonadora",,9.989453,Good,,
2019-03-30 22:01:15," Quebrada Sonadora",,10.00435,Good,,
2019-03-30 22:16:15," Quebrada Sonadora",,9.944376,Good,,
2019-03-30 22:31:14," Quebrada Sonadora",,9.962316,Good,,
2019-03-30 22:46:15," Quebrada Sonadora",,9.933054,Good,,
2019-03-30 23:01:15," Quebrada Sonadora",,9.909987,Good,,
2019-03-30 23:16:15," Quebrada Sonadora",,9.844952,Good,,
2019-03-30 23:31:14," Quebrada Sonadora",,9.862062,Good,,
2019-03-30 23:46:15," Quebrada Sonadora",,9.805683,Good,,
2019-03-31 00:01:15," Quebrada Sonadora",,9.854613,Good,,
2019-03-31 00:16:15," Quebrada Sonadora",,9.785218,Good,,
2019-03-31 00:31:14," Quebrada Sonadora",,9.764318,Good,,
2019-03-31 00:46:15," Quebrada Sonadora",,9.780802,Good,,
2019-03-31 01:01:15," Quebrada Sonadora",,9.809319,Good,,
2019-03-31 01:16:15," Quebrada Sonadora",,9.805283,Good,,
2019-03-31 01:31:14," Quebrada Sonadora",,9.797181,Good,,
2019-03-31 01:46:15," Quebrada Sonadora",,9.770761,Good,,
2019-03-31 02:01:15," Quebrada Sonadora",,9.75737,Good,,
2019-03-31 02:16:15," Quebrada Sonadora",,9.720182,Good,,
2019-03-31 02:31:14," Quebrada Sonadora",,9.667081,Good,,
2019-03-31 02:46:15," Quebrada Sonadora",,9.692067,Good,,
2019-03-31 03:01:15," Quebrada Sonadora",,9.690942,Good,,
2019-03-31 03:16:15," Quebrada Sonadora",,9.649289,Good,,
2019-03-31 03:31:14," Quebrada Sonadora",,9.656244,Good,,
2019-03-31 03:46:15," Quebrada Sonadora",,9.610498,Good,,
2019-03-31 04:01:15," Quebrada Sonadora",,9.665415,Good,,
2019-03-31 04:16:15," Quebrada Sonadora",,9.611378,Good,,
2019-03-31 04:31:14," Quebrada Sonadora",,9.597566,Good,,
2019-03-31 04:46:15," Quebrada Sonadora",,9.632151,Good,,
2019-03-31 05:01:15," Quebrada Sonadora",,9.619964,Good,,
2019-03-31 05:16:15," Quebrada Sonadora",,9.483852,Good,,
2019-03-31 05:31:14," Quebrada Sonadora",,9.332718,Good,,
2019-03-31 05:46:15," Quebrada Sonadora",,9.365103,Good,,
2019-03-31 06:01:15," Quebrada Sonadora",,9.355258,Good,,
2019-03-31 06:16:15," Quebrada Sonadora",,9.336544,Good,,
2019-03-31 06:31:14," Quebrada Sonadora",,9.354075,Good,,
2019-03-31 06:46:15," Quebrada Sonadora",,9.378823,Good,,
2019-03-31 07:01:15," Quebrada Sonadora",,9.369674,Good,,
2019-03-31 07:16:15," Quebrada Sonadora",,9.38409,Good,,
2019-03-31 07:31:14," Quebrada Sonadora",,9.305427,Good,,
2019-03-31 07:46:15," Quebrada Sonadora",,9.279497,Good,,
2019-03-31 08:01:15," Quebrada Sonadora",,9.276319,Good,,
2019-03-31 08:16:15," Quebrada Sonadora",,9.233196,Good,,
2019-03-31 08:31:14," Quebrada Sonadora",,9.202359,Good,,
2019-03-31 08:46:15," Quebrada Sonadora",,9.104279,Good,,
2019-03-31 09:01:15," Quebrada Sonadora",,9.156382,Good,,
2019-03-31 09:16:15," Quebrada Sonadora",,9.149222,Good,,
2019-03-31 09:31:14," Quebrada Sonadora",,9.116585,Good,,
2019-03-31 09:46:15," Quebrada Sonadora",,9.158674,Good,,
2019-03-31 10:01:15," Quebrada Sonadora",,9.189835,Good,,
2019-03-31 10:16:15," Quebrada Sonadora",,9.215158,Good,,
2019-03-31 10:31:14," Quebrada Sonadora",,9.188463,Good,,
2019-03-31 10:46:15," Quebrada Sonadora",,9.258014,Good,,
2019-03-31 11:01:15," Quebrada Sonadora",,9.197964,Good,,
2019-03-31 11:16:15," Quebrada Sonadora",,9.254131,Good,,
2019-03-31 11:31:14," Quebrada Sonadora",,9.279632,Good,,
2019-03-31 11:46:15," Quebrada Sonadora",,9.296804,Good,,
2019-03-31 12:01:15," Quebrada Sonadora",,9.348788,Good,,
2019-03-31 12:16:15," Quebrada Sonadora",,9.318295,Good,,
2019-03-31 12:31:14," Quebrada Sonadora",,9.339013,Good,,
2019-03-31 12:46:15," Quebrada Sonadora",,9.402536,Good,,
2019-03-31 13:01:15," Quebrada Sonadora",,9.410188,Good,,
2019-03-31 13:16:15," Quebrada Sonadora",,9.490265,Good,,
2019-03-31 13:31:14," Quebrada Sonadora",,9.450343,Good,,
2019-03-31 13:46:15," Quebrada Sonadora",,9.505463,Good,,
2019-03-31 14:01:15," Quebrada Sonadora",,9.512566,Good,,
2019-03-31 14:16:15," Quebrada Sonadora",,9.499401,Good,,
2019-03-31 14:31:14," Quebrada Sonadora",,9.468844,Good,,
2019-03-31 14:46:15," Quebrada Sonadora",,9.528248,Good,,
2019-03-31 15:01:15," Quebrada Sonadora",,9.507847,Good,,
2019-03-31 15:16:15," Quebrada Sonadora",,9.438043,Good,,
2019-03-31 15:31:14," Quebrada Sonadora",,9.481849,Good,,
2019-03-31 15:46:15," Quebrada Sonadora",,9.520695,Good,,
2019-03-31 16:01:15," Quebrada Sonadora",,9.673846,Good,,
2019-03-31 16:16:15," Quebrada Sonadora",,9.83588,Good,,
2019-03-31 16:31:14," Quebrada Sonadora",,10.03637,Good,,
2019-03-31 16:46:15," Quebrada Sonadora",,10.29693,Good,,
2019-03-31 17:01:15," Quebrada Sonadora",,10.62338,Good,,
2019-03-31 17:16:15," Quebrada Sonadora",,10.69921,Good,,
2019-03-31 17:31:14," Quebrada Sonadora",,10.64956,Good,,
2019-03-31 17:46:15," Quebrada Sonadora",,10.67323,Good,,
2019-03-31 18:01:15," Quebrada Sonadora",,10.70732,Good,,
2019-03-31 18:16:15," Quebrada Sonadora",,10.79322,Good,,
2019-03-31 18:31:14," Quebrada Sonadora",,11.02597,Good,,
2019-03-31 18:46:15," Quebrada Sonadora",,11.3474,Good,,
2019-03-31 19:01:15," Quebrada Sonadora",,11.68493,Good,,
2019-03-31 19:16:15," Quebrada Sonadora",,11.98576,Good,,
2019-03-31 19:31:14," Quebrada Sonadora",,12.19841,Good,,
2019-03-31 19:46:15," Quebrada Sonadora",,12.22496,Good,,
2019-03-31 20:01:15," Quebrada Sonadora",,12.24696,Good,,
2019-03-31 20:16:15," Quebrada Sonadora",,12.28742,Good,,
2019-03-31 20:31:14," Quebrada Sonadora",,12.75517,Good,,
2019-03-31 20:46:15," Quebrada Sonadora",,13.99877,Good,,
2019-03-31 21:01:15," Quebrada Sonadora",,14.9413,Good,,
2019-03-31 21:16:15," Quebrada Sonadora",,15.32744,Good,,
2019-03-31 21:31:14," Quebrada Sonadora",,15.41829,Good,,
2019-03-31 21:46:15," Quebrada Sonadora",,15.39112,Good,,
2019-03-31 22:01:15," Quebrada Sonadora",,15.27888,Good,,
2019-03-31 22:16:15," Quebrada Sonadora",,15.16203,Good,,
2019-03-31 22:31:14," Quebrada Sonadora",,14.99824,Good,,
2019-03-31 22:46:15," Quebrada Sonadora",,14.87836,Good,,
2019-03-31 23:01:15," Quebrada Sonadora",,14.67086,Good,,
2019-03-31 23:16:15," Quebrada Sonadora",,14.49093,Good,,
2019-03-31 23:31:14," Quebrada Sonadora",,14.32304,Good,,
2019-03-31 23:46:15," Quebrada Sonadora",,14.13885,Good,,
2019-04-01 00:01:15," Quebrada Sonadora",,14.03544,Good,,
2019-04-01 00:16:15," Quebrada Sonadora",,13.92569,Good,,
2019-04-01 00:31:14," Quebrada Sonadora",,13.86024,Good,,
2019-04-01 00:46:15," Quebrada Sonadora",,13.75782,Good,,
2019-04-01 01:01:15," Quebrada Sonadora",,13.633,Good,,
2019-04-01 01:16:15," Quebrada Sonadora",,13.45712,Good,,
2019-04-01 01:31:14," Quebrada Sonadora",,13.32551,Good,,
2019-04-01 01:46:15," Quebrada Sonadora",,13.21661,Good,,
2019-04-01 02:01:15," Quebrada Sonadora",,13.14744,Good,,
2019-04-01 02:16:15," Quebrada Sonadora",,13.01071,Good,,
2019-04-01 02:31:14," Quebrada Sonadora",,12.83618,Good,,
2019-04-01 02:46:15," Quebrada Sonadora",,12.78188,Good,,
2019-04-01 03:01:15," Quebrada Sonadora",,12.64161,Good,,
2019-04-01 03:16:15," Quebrada Sonadora",,12.51141,Good,,
2019-04-01 03:31:14," Quebrada Sonadora",,12.44979,Good,,
2019-04-01 03:46:15," Quebrada Sonadora",,12.33173,Good,,
2019-04-01 04:01:15," Quebrada Sonadora",,12.22779,Good,,
2019-04-01 04:16:15," Quebrada Sonadora",,12.12065,Good,,
2019-04-01 04:31:14," Quebrada Sonadora",,12.08913,Good,,
2019-04-01 04:46:15," Quebrada Sonadora",,11.98394,Good,,
2019-04-01 05:01:15," Quebrada Sonadora",,11.89083,Good,,
2019-04-01 05:16:15," Quebrada Sonadora",,11.78165,Good,,
2019-04-01 05:31:14," Quebrada Sonadora",,11.73972,Good,,
2019-04-01 05:46:15," Quebrada Sonadora",,11.59839,Good,,
2019-04-01 06:01:15," Quebrada Sonadora",,11.4635,Good,,
2019-04-01 06:16:15," Quebrada Sonadora",,11.33744,Good,,
2019-04-01 06:31:14," Quebrada Sonadora",,11.26143,Good,,
2019-04-01 06:46:15," Quebrada Sonadora",,11.13755,Good,,
2019-04-01 07:01:15," Quebrada Sonadora",,11.06684,Good,,
2019-04-01 07:16:15," Quebrada Sonadora",,11.01881,Good,,
2019-04-01 07:31:14," Quebrada Sonadora",,10.93839,Good,,
2019-04-01 07:46:15," Quebrada Sonadora",,10.84643,Good,,
2019-04-01 08:01:15," Quebrada Sonadora",,10.79881,Good,,
2019-04-01 08:16:15," Quebrada Sonadora",,10.71641,Good,,
2019-04-01 08:31:14," Quebrada Sonadora",,10.60597,Good,,
2019-04-01 08:46:15," Quebrada Sonadora",,10.56371,Good,,
2019-04-01 09:01:15," Quebrada Sonadora",,10.51062,Good,,
2019-04-01 09:16:15," Quebrada Sonadora",,10.44503,Good,,
2019-04-01 09:31:14," Quebrada Sonadora",,10.44115,Good,,
2019-04-01 09:46:15," Quebrada Sonadora",,10.41917,Good,,
2019-04-01 10:01:15," Quebrada Sonadora",,10.47175,Good,,
2019-04-01 10:16:15," Quebrada Sonadora",,10.4741,Good,,
2019-04-01 10:31:14," Quebrada Sonadora",,10.49129,Good,,
2019-04-01 10:46:15," Quebrada Sonadora",,10.43759,Good,,
2019-04-01 11:01:15," Quebrada Sonadora",,10.4022,Good,,
